"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2020","0.9009","0.9128","0.9288","0.8971","","-1.27%"
"01/04/2020","0.9125","0.9065","0.9323","0.9058","","0.67%"
"01/03/2020","0.9064","0.9089","0.9402","0.8701","","-0.04%"
"01/02/2020","0.9068","0.9015","0.9280","0.9012","","0.61%"
"01/01/2020","0.9013","0.8918","0.9098","0.8907","","1.08%"
"01/12/2019","0.8917","0.9079","0.9089","0.8897","","-1.74%"
"01/11/2019","0.9075","0.8967","0.9107","0.8948","","1.23%"
"01/10/2019","0.8965","0.9174","0.9193","0.8945","","-2.27%"
"01/09/2019","0.9173","0.9100","0.9187","0.9001","","0.84%"
"01/08/2019","0.9097","0.9029","0.9122","0.8888","","0.78%"
"01/07/2019","0.9027","0.8795","0.9042","0.8791","","2.65%"
"01/06/2019","0.8794","0.8954","0.8964","0.8762","","-1.63%"
"01/05/2019","0.8940","0.8916","0.9003","0.8876","","0.27%"
"01/04/2019","0.8916","0.8914","0.9000","0.8829","","0.03%"
"01/03/2019","0.8913","0.8785","0.8948","0.8734","","1.35%"
"01/02/2019","0.8794","0.8737","0.8903","0.8704","","0.68%"
"01/01/2019","0.8735","0.8722","0.8859","0.8643","","0.21%"
"01/12/2018","0.8717","0.8838","0.8874","0.8705","","-1.34%"
"01/11/2018","0.8835","0.8841","0.8917","0.8695","","-0.05%"
"01/10/2018","0.8839","0.8615","0.8849","0.8600","","2.62%"
"01/09/2018","0.8613","0.8623","0.8676","0.8463","","-0.05%"
"01/08/2018","0.8617","0.8554","0.8850","0.8522","","0.75%"
"01/07/2018","0.8553","0.8583","0.8640","0.8481","","-0.05%"
"01/06/2018","0.8557","0.8553","0.8690","0.8437","","0.07%"
"01/05/2018","0.8551","0.8280","0.8689","0.8273","","3.30%"
"01/04/2018","0.8278","0.8115","0.8296","0.8055","","2.02%"
"01/03/2018","0.8114","0.8200","0.8227","0.8015","","-1.04%"
"01/02/2018","0.8199","0.8055","0.8205","0.7965","","1.85%"
"01/01/2018","0.8050","0.8332","0.8392","0.7976","","-3.40%"
"01/12/2017","0.8333","0.8400","0.8535","0.8313","","-0.79%"
"01/11/2017","0.8399","0.8587","0.8655","0.8360","","-2.17%"
"01/10/2017","0.8585","0.8462","0.8640","0.8417","","1.44%"
"01/09/2017","0.8463","0.8396","0.8535","0.8269","","0.81%"
"01/08/2017","0.8395","0.8444","0.8575","0.8285","","-0.57%"
"01/07/2017","0.8443","0.8756","0.8840","0.8441","","-3.51%"
"01/06/2017","0.8750","0.8894","0.8995","0.8736","","-1.60%"
"01/05/2017","0.8892","0.9168","0.9226","0.8874","","-3.08%"
"01/04/2017","0.9175","0.9380","0.9462","0.9131","","-2.24%"
"01/03/2017","0.9385","0.9456","0.9529","0.9169","","-0.72%"
"01/02/2017","0.9453","0.9262","0.9530","0.9234","","2.10%"
"01/01/2017","0.9259","0.9496","0.9671","0.9248","","-2.61%"
"01/12/2016","0.9507","0.9445","0.9661","0.9197","","0.68%"
"01/11/2016","0.9443","0.9107","0.9509","0.8849","","3.71%"
"01/10/2016","0.9105","0.8900","0.9217","0.8892","","2.37%"
"01/09/2016","0.8894","0.8963","0.8992","0.8828","","-0.73%"
"01/08/2016","0.8959","0.8947","0.9054","0.8798","","0.11%"
"01/07/2016","0.8949","0.9005","0.9131","0.8930","","-0.60%"
"01/06/2016","0.9003","0.8983","0.9165","0.8745","","0.24%"
"01/05/2016","0.8981","0.8737","0.9011","0.8609","","2.90%"
"01/04/2016","0.8728","0.8787","0.8916","0.8722","","-0.66%"
"01/03/2016","0.8786","0.9198","0.9241","0.8762","","-4.45%"
"01/02/2016","0.9195","0.9231","0.9247","0.8790","","-0.34%"
"01/01/2016","0.9226","0.9208","0.9337","0.9103","","0.21%"
"01/12/2015","0.9207","0.9463","0.9489","0.9041","","-2.72%"
"01/11/2015","0.9464","0.9068","0.9472","0.9047","","4.16%"
"01/10/2015","0.9086","0.8947","0.9179","0.8698","","1.56%"
"01/09/2015","0.8946","0.8920","0.9020","0.8726","","0.36%"
"01/08/2015","0.8914","0.9116","0.9218","0.8539","","-2.04%"
"01/07/2015","0.9100","0.8976","0.9251","0.8916","","1.37%"
"01/06/2015","0.8977","0.9102","0.9186","0.8744","","-1.35%"
"01/05/2015","0.9100","0.8910","0.9243","0.8719","","2.17%"
"01/04/2015","0.8907","0.9315","0.9506","0.8875","","-4.41%"
"01/03/2015","0.9318","0.8939","0.9563","0.8896","","4.34%"
"01/02/2015","0.8930","0.8862","0.8949","0.8670","","0.82%"
"01/01/2015","0.8857","0.8266","0.9010","0.8258","","7.18%"
"01/12/2014","0.8264","0.8030","0.8267","0.7955","","2.91%"
"01/11/2014","0.8030","0.7988","0.8092","0.7936","","0.58%"
"01/10/2014","0.7984","0.7917","0.8009","0.7760","","0.86%"
"01/09/2014","0.7916","0.7612","0.7954","0.7599","","3.97%"
"01/08/2014","0.7614","0.7468","0.7615","0.7437","","1.96%"
"01/07/2014","0.7468","0.7304","0.7481","0.7298","","2.26%"
"01/06/2014","0.7303","0.7334","0.7405","0.7301","","-0.45%"
"01/05/2014","0.7336","0.7211","0.7361","0.7146","","1.75%"
"01/04/2014","0.7210","0.7262","0.7315","0.7192","","-0.70%"
"01/03/2014","0.7261","0.7254","0.7297","0.7160","","0.22%"
"01/02/2014","0.7245","0.7412","0.7420","0.7233","","-2.27%"
"01/01/2014","0.7413","0.7275","0.7419","0.7259","","1.91%"
"01/12/2013","0.7274","0.7358","0.7394","0.7197","","-1.13%"
"01/11/2013","0.7357","0.7362","0.7521","0.7341","","-0.04%"
"01/10/2013","0.7360","0.7393","0.7423","0.7229","","-0.43%"
"01/09/2013","0.7392","0.7556","0.7631","0.7369","","-2.25%"
"01/08/2013","0.7562","0.7517","0.7592","0.7434","","0.61%"
"01/07/2013","0.7516","0.7686","0.7840","0.7494","","-2.20%"
"01/06/2013","0.7685","0.7736","0.7719","0.7454","","-0.08%"
"01/05/2013","0.7691","0.7594","0.7815","0.7552","","1.28%"
"01/04/2013","0.7594","0.7806","0.7845","0.7574","","-2.62%"
"01/03/2013","0.7798","0.7655","0.7843","0.7613","","1.89%"
"01/02/2013","0.7653","0.7365","0.7681","0.7293","","3.94%"
"01/01/2013","0.7363","0.7581","0.7693","0.7356","","-2.82%"
"01/12/2012","0.7577","0.7704","0.7765","0.7514","","-1.44%"
"01/11/2012","0.7688","0.7717","0.7898","0.7675","","-0.36%"
"01/10/2012","0.7716","0.7784","0.7810","0.7610","","-0.78%"
"01/09/2012","0.7777","0.7947","0.8000","0.7592","","-2.15%"
"01/08/2012","0.7948","0.8132","0.8242","0.7913","","-2.20%"
"01/07/2012","0.8127","0.7890","0.8305","0.7890","","2.90%"
"01/06/2012","0.7898","0.8091","0.8138","0.7844","","-2.39%"
"01/05/2012","0.8091","0.7552","0.8106","0.7527","","7.15%"
"01/04/2012","0.7551","0.7533","0.7696","0.7473","","0.77%"
"01/03/2012","0.7493","0.7504","0.7690","0.7470","","-0.12%"
"01/02/2012","0.7502","0.7643","0.7707","0.7415","","-1.88%"
"01/01/2012","0.7646","0.7727","0.7922","0.7558","","-1.05%"
"01/12/2011","0.7727","0.7441","0.7778","0.7380","","3.87%"
"01/11/2011","0.7439","0.7215","0.7569","0.7208","","3.10%"
"01/10/2011","0.7215","0.7497","0.7607","0.7018","","-3.40%"
"01/09/2011","0.7469","0.6954","0.7484","0.6953","","7.41%"
"01/08/2011","0.6954","0.6964","0.7114","0.6873","","0.12%"
"01/07/2011","0.6946","0.6896","0.7227","0.6859","","0.77%"
"01/06/2011","0.6893","0.6945","0.7106","0.6804","","-0.76%"
"01/05/2011","0.6946","0.6744","0.7158","0.6693","","2.84%"
"01/04/2011","0.6754","0.7055","0.7112","0.6719","","-4.29%"
"01/03/2011","0.7057","0.7244","0.7276","0.7017","","-2.59%"
"01/02/2011","0.7245","0.7305","0.7448","0.7214","","-0.81%"
"01/01/2011","0.7304","0.7491","0.7768","0.7268","","-2.26%"
"01/12/2010","0.7473","0.7699","0.7710","0.7408","","-2.97%"
"01/11/2010","0.7702","0.7161","0.7713","0.7002","","7.46%"
"01/10/2010","0.7167","0.7336","0.7343","0.7063","","-2.28%"
"01/09/2010","0.7334","0.7881","0.7909","0.7308","","-6.92%"
"01/08/2010","0.7879","0.7655","0.7945","0.7499","","2.83%"
"01/07/2010","0.7662","0.8173","0.8202","0.7629","","-6.25%"
"01/06/2010","0.8173","0.8127","0.8420","0.8022","","0.57%"
"01/05/2010","0.8127","0.7498","0.8235","0.7495","","8.07%"
"01/04/2010","0.7520","0.7403","0.7626","0.7304","","1.61%"
"01/03/2010","0.7401","0.7338","0.7538","0.7237","","0.84%"
"01/02/2010","0.7339","0.7212","0.7439","0.7128","","1.78%"
"01/01/2010","0.7211","0.6980","0.7214","0.6858","","3.24%"
"01/12/2009","0.6985","0.6663","0.7035","0.6604","","4.83%"
"01/11/2009","0.6663","0.6797","0.6838","0.6603","","-1.93%"
"01/10/2009","0.6794","0.6833","0.6907","0.6641","","-0.56%"
"01/09/2009","0.6832","0.6978","0.7054","0.6736","","-2.09%"
"01/08/2009","0.6978","0.7008","0.7120","0.6921","","-0.56%"
"01/07/2009","0.7017","0.7127","0.7230","0.6990","","-1.53%"
"01/06/2009","0.7126","0.7079","0.7274","0.6974","","0.85%"
"01/05/2009","0.7066","0.7561","0.7571","0.7057","","-6.53%"
"01/04/2009","0.7560","0.7549","0.7761","0.7363","","0.19%"
"01/03/2009","0.7546","0.7920","0.8027","0.7278","","-4.38%"
"01/02/2009","0.7892","0.7830","0.7992","0.7637","","0.83%"
"01/01/2009","0.7827","0.7159","0.7834","0.7106","","9.44%"
"01/12/2008","0.7152","0.7866","0.7969","0.6794","","-9.17%"
"01/11/2008","0.7874","0.7844","0.8074","0.7624","","0.27%"
"01/10/2008","0.7853","0.7079","0.8112","0.7056","","10.92%"
"01/09/2008","0.7080","0.6801","0.7205","0.6725","","3.89%"
"01/08/2008","0.6815","0.6410","0.6864","0.6396","","6.32%"
"01/07/2008","0.6410","0.6346","0.6443","0.6234","","0.99%"
"01/06/2008","0.6347","0.6426","0.6534","0.6310","","-1.29%"
"01/05/2008","0.6430","0.6404","0.6542","0.6321","","0.45%"
"01/04/2008","0.6401","0.6344","0.6448","0.6241","","0.95%"
"01/03/2008","0.6341","0.6580","0.6603","0.6287","","-3.73%"
"01/02/2008","0.6587","0.6729","0.6925","0.6561","","-2.10%"
"01/01/2008","0.6728","0.6855","0.6962","0.6701","","-1.84%"
"01/12/2007","0.6854","0.6831","0.6989","0.6769","","0.29%"
"01/11/2007","0.6834","0.6905","0.6944","0.6680","","-1.03%"
"01/10/2007","0.6905","0.7003","0.7136","0.6893","","-1.44%"
"01/09/2007","0.7006","0.7336","0.7379","0.7002","","-4.51%"
"01/08/2007","0.7337","0.7311","0.7485","0.7224","","0.33%"
"01/07/2007","0.7313","0.7383","0.7391","0.7218","","-0.97%"
"01/06/2007","0.7385","0.7433","0.7540","0.7377","","-0.65%"
"01/05/2007","0.7433","0.7330","0.7459","0.7313","","1.42%"
"01/04/2007","0.7329","0.7476","0.7509","0.7308","","-2.10%"
"01/03/2007","0.7486","0.7557","0.7651","0.7455","","-0.94%"
"01/02/2007","0.7557","0.7673","0.7745","0.7540","","-1.50%"
"01/01/2007","0.7672","0.7576","0.7773","0.7519","","1.28%"
"01/12/2006","0.7575","0.7551","0.7662","0.7479","","0.30%"
"01/11/2006","0.7552","0.7835","0.7884","0.7532","","-3.60%"
"01/10/2006","0.7834","0.7885","0.8012","0.7822","","-0.73%"
"01/09/2006","0.7892","0.7809","0.7916","0.7765","","1.06%"
"01/08/2006","0.7809","0.7833","0.7876","0.7727","","-0.32%"
"01/07/2006","0.7834","0.7819","0.8028","0.7773","","0.20%"
"01/06/2006","0.7818","0.7803","0.8014","0.7703","","0.18%"
"01/05/2006","0.7804","0.7920","0.7964","0.7708","","-1.40%"
"01/04/2006","0.7915","0.8251","0.8313","0.7910","","-4.08%"
"01/03/2006","0.8252","0.8386","0.8432","0.8190","","-1.63%"
"01/02/2006","0.8389","0.8227","0.8457","0.8215","","1.97%"
"01/01/2006","0.8227","0.8441","0.8474","0.8112","","-2.55%"
"01/12/2005","0.8442","0.8482","0.8578","0.8289","","-0.47%"
"01/11/2005","0.8482","0.8338","0.8591","0.8273","","1.69%"
"01/10/2005","0.8341","0.8317","0.8421","0.8191","","0.36%"
"01/09/2005","0.8311","0.8104","0.8349","0.7940","","2.59%"
"01/08/2005","0.8101","0.8247","0.8268","0.8005","","-1.73%"
"01/07/2005","0.8244","0.8264","0.8426","0.8158","","-0.22%"
"01/06/2005","0.8262","0.8125","0.8346","0.8093","","1.70%"
"01/05/2005","0.8124","0.7774","0.8133","0.7695","","4.58%"
"01/04/2005","0.7768","0.7714","0.7834","0.7618","","0.71%"
"01/03/2005","0.7713","0.7560","0.7779","0.7416","","2.08%"
"01/02/2005","0.7556","0.7672","0.7856","0.7529","","-1.52%"
"01/01/2005","0.7673","0.7378","0.7739","0.7362","","4.03%"
"01/12/2004","0.7376","0.7526","0.7611","0.7314","","-1.95%"
"01/11/2004","0.7523","0.7808","0.7901","0.7497","","-3.82%"
"01/10/2004","0.7822","0.8041","0.8181","0.7782","","-2.76%"
"01/09/2004","0.8044","0.8208","0.8318","0.8033","","-1.97%"
"01/08/2004","0.8206","0.8284","0.8355","0.8070","","-1.43%"
"01/07/2004","0.8325","0.8204","0.8340","0.8022","","1.45%"
"01/06/2004","0.8206","0.8203","0.8365","0.8093","","0.00%"
"01/05/2004","0.8206","0.8335","0.8495","0.8130","","-1.65%"
"01/04/2004","0.8344","0.8118","0.8502","0.8070","","2.72%"
"01/03/2004","0.8123","0.8003","0.8301","0.7971","","1.47%"
"01/02/2004","0.8005","0.8016","0.8083","0.7733","","-0.16%"
"01/01/2004","0.8018","0.7939","0.8108","0.7750","","0.92%"
"01/12/2003","0.7945","0.8347","0.8378","0.7905","","-4.70%"
"01/11/2003","0.8337","0.8633","0.8792","0.8319","","-3.42%"
"01/10/2003","0.8632","0.8574","0.8659","0.8428","","0.64%"
"01/09/2003","0.8577","0.9100","0.9289","0.8517","","-5.82%"
"01/08/2003","0.9107","0.8902","0.9268","0.8747","","2.28%"
"01/07/2003","0.8904","0.8676","0.8999","0.8608","","2.50%"
"01/06/2003","0.8687","0.8535","0.8774","0.8379","","2.40%"
"01/05/2003","0.8483","0.8941","0.8966","0.8377","","-5.10%"
"01/04/2003","0.8939","0.9153","0.9472","0.8933","","-2.33%"
"01/03/2003","0.9152","0.9278","0.9524","0.9015","","-1.19%"
"01/02/2003","0.9262","0.9269","0.9377","0.9140","","-0.24%"
"01/01/2003","0.9284","0.9528","0.9676","0.9164","","-2.52%"
"01/12/2002","0.9524","1.0053","1.0148","0.9516","","-5.26%"
"01/11/2002","1.0053","1.0092","1.0130","0.9825","","-0.43%"
"01/10/2002","1.0096","1.0131","1.0326","1.0069","","-0.38%"
"01/09/2002","1.0135","1.0180","1.0412","1.0001","","-0.47%"
"01/08/2002","1.0183","1.0233","1.0395","1.0077","","-0.45%"
"01/07/2002","1.0229","1.0085","1.0296","0.9790","","1.42%"
"01/06/2002","1.0086","1.0718","1.0757","1.0004","","-5.81%"
"01/05/2002","1.0708","1.1104","1.1127","1.0615","","-3.60%"
"01/04/2002","1.1108","1.1469","1.1476","1.1045","","-3.16%"
"01/03/2002","1.1471","1.1502","1.1588","1.1266","","-0.33%"
"01/02/2002","1.1509","1.1641","1.1682","1.1355","","-1.18%"
"01/01/2002","1.1646","1.1241","1.1671","1.1020","","3.75%"
"01/12/2001","1.1225","1.1159","1.1441","1.1006","","0.63%"
"01/11/2001","1.1155","1.1100","1.1450","1.0959","","0.38%"
"01/10/2001","1.1113","1.0977","1.1277","1.0810","","1.31%"
"01/09/2001","1.0969","1.0984","1.1336","1.0704","","0.08%"
"01/08/2001","1.0960","1.1410","1.1446","1.0813","","-3.96%"
"01/07/2001","1.1412","1.1752","1.1979","1.1325","","-2.99%"
"01/06/2001","1.1764","1.1834","1.1889","1.1525","","-0.48%"
"01/05/2001","1.1821","1.1246","1.1852","1.1096","","5.00%"
"01/04/2001","1.1258","1.1434","1.1499","1.0996","","-1.18%"
"01/03/2001","1.1393","1.0823","1.1429","1.0655","","5.20%"
"01/02/2001","1.0830","1.0669","1.1094","1.0582","","1.43%"
"01/01/2001","1.0677","1.0608","1.0976","1.0419","","0.62%"
"01/12/2000","1.0611","1.1456","1.1494","1.0604","","-7.44%"
"01/11/2000","1.1464","1.1777","1.1945","1.1366","","-2.67%"
"01/10/2000","1.1778","1.1307","1.2155","1.1278","","4.11%"
"01/09/2000","1.1313","1.1250","1.1852","1.1056","","0.52%"
"01/08/2000","1.1254","1.0784","1.1315","1.0761","","4.24%"
"01/07/2000","1.0796","1.0501","1.0882","1.0414","","2.84%"
"01/06/2000","1.0498","1.0669","1.0775","1.0304","","-1.54%"
"01/05/2000","1.0662","1.0961","1.1308","1.0621","","-2.71%"
"01/04/2000","1.0959","1.0455","1.1075","1.0251","","4.78%"
"01/03/2000","1.0459","1.0366","1.0551","1.0206","","0.89%"
"01/02/2000","1.0367","1.0304","1.0640","0.9907","","0.52%"
"01/01/2000","1.0313","0.9940","1.0339","0.9598","","3.90%"
"01/12/1999","0.9926","0.9905","1.0010","0.9618","","0.16%"
"01/11/1999","0.9910","0.9479","0.9964","0.9432","","4.58%"
"01/10/1999","0.9476","0.9363","0.9585","0.9161","","1.24%"
"01/09/1999","0.9360","0.9462","0.9723","0.9315","","-1.12%"
"01/08/1999","0.9466","0.9355","0.9617","0.9234","","1.36%"
"01/07/1999","0.9339","0.9649","0.9894","0.9302","","-3.27%"
"01/06/1999","0.9655","0.9587","0.9751","0.9467","","0.63%"
"01/05/1999","0.9595","0.9442","0.9619","0.9220","","1.42%"
"01/04/1999","0.9461","0.9280","0.9491","0.9183","","1.90%"
"01/03/1999","0.9285","0.9102","0.9365","0.9030","","2.37%"
"01/02/1999","0.9070","0.8782","0.9158","0.8776","","3.08%"
"01/01/1999","0.8799","0.8518","0.8824","0.8399","","3.20%"
"01/12/1998","0.8526","0.8521","0.8526","0.8521","","-1.26%"
"01/11/1998","0.8635","0.8647","0.8635","0.8647","","2.30%"
"01/10/1998","0.8441","0.8466","0.8441","0.8466","","-0.83%"
"01/09/1998","0.8512","0.8543","0.8512","0.8543","","-5.03%"
"01/08/1998","0.8963","0.9074","0.8963","0.9074","","-0.99%"
"01/07/1998","0.9053","0.9088","0.9053","0.9088","","-1.33%"
"01/06/1998","0.9175","0.9216","0.9175","0.9216","","0.95%"
"01/05/1998","0.9089","0.9106","0.9089","0.9106","","-0.38%"
"01/04/1998","0.9124","0.9169","0.9124","0.9169","","-2.59%"
"01/03/1998","0.9367","0.9444","0.9367","0.9444","","1.45%"
"01/02/1998","0.9233","0.9273","0.9233","0.9273","","-0.83%"
"01/01/1998","0.9310","0.9339","0.9310","0.9339","","1.92%"
"01/12/1997","0.9135","0.9167","0.9135","0.9167","","2.08%"
"01/11/1997","0.8949","0.8990","0.8949","0.8990","","2.08%"
"01/10/1997","0.8767","0.8781","0.8767","0.8781","","-2.57%"
"01/09/1997","0.8998","0.9004","0.8998","0.9004","","-2.10%"
"01/08/1997","0.9191","0.9185","0.9191","0.9185","","-1.63%"
"01/07/1997","0.9343","0.9364","0.9343","0.9364","","5.19%"
"01/06/1997","0.8882","0.8885","0.8882","0.8885","","1.57%"
"01/05/1997","0.8745","0.8722","0.8745","0.8722","","-1.39%"
"01/04/1997","0.8868","0.8847","0.8868","0.8847","","3.36%"
"01/03/1997","0.8580","0.8581","0.8580","0.8581","","-1.17%"
"01/02/1997","0.8682","0.8641","0.8682","0.8641","","3.12%"
"01/01/1997","0.8419","0.8357","0.8419","0.8357","","6.29%"
"01/12/1996","0.7921","0.7864","0.7921","0.7864","","0.03%"
"01/11/1996","0.7919","0.7861","0.7919","0.7861","","1.12%"
"01/10/1996","0.7831","0.7748","0.7831","0.7748","","-0.94%"
"01/09/1996","0.7905","0.7810","0.7905","0.7810","","2.16%"
"01/08/1996","0.7738","0.7617","0.7738","0.7617","","0.27%"
"01/07/1996","0.7717","0.7599","0.7717","0.7599","","-2.65%"
"01/06/1996","0.7927","0.7807","0.7927","0.7807","","-0.36%"
"01/05/1996","0.7956","0.7840","0.7956","0.7840","","-0.79%"
"01/04/1996","0.8019","0.7884","0.8019","0.7884","","2.72%"
"01/03/1996","0.7807","0.7650","0.7807","0.7650","","0.15%"
"01/02/1996","0.7795","0.7620","0.7795","0.7620","","-1.54%"
"01/01/1996","0.7917","0.7726","0.7917","0.7726","","6.03%"
"01/12/1995","0.7467","0.7467","0.7467","0.7467","","-1.11%"
"01/11/1995","0.7551","0.7551","0.7551","0.7551","","2.00%"
"01/10/1995","0.7403","0.7403","0.7403","0.7403","","-1.07%"
"01/09/1995","0.7483","0.7483","0.7483","0.7483","","-2.48%"
"01/08/1995","0.7673","0.7673","0.7673","0.7673","","5.62%"
"01/07/1995","0.7265","0.7265","0.7265","0.7265","","-1.16%"
"01/06/1995","0.7350","0.7350","0.7350","0.7350","","-1.70%"
"01/05/1995","0.7477","0.7477","0.7477","0.7477","","1.10%"
"01/04/1995","0.7396","0.7396","0.7396","0.7396","","0.69%"
"01/03/1995","0.7345","0.7345","0.7345","0.7345","","-5.05%"
"01/02/1995","0.7736","0.7736","0.7736","0.7736","","-1.96%"
"01/01/1995","0.7891","0.7891","0.7891","0.7891","","-1.69%"
"01/12/1994","0.8027","0.8027","0.8027","0.8027","","-0.90%"
"01/11/1994","0.8100","0.8100","0.8100","0.8100","","4.33%"
"01/10/1994","0.7764","0.7764","0.7764","0.7764","","-2.47%"
"01/09/1994","0.7961","0.7961","0.7961","0.7961","","-1.75%"
"01/08/1994","0.8103","0.8103","0.8103","0.8103","","-0.65%"
"01/07/1994","0.8156","0.8156","0.8156","0.8156","","-0.18%"
"01/06/1994","0.8171","0.8171","0.8171","0.8171","","-2.69%"
"01/05/1994","0.8397","0.8397","0.8397","0.8397","","-0.58%"
"01/04/1994","0.8446","0.8446","0.8446","0.8446","","-0.87%"
"01/03/1994","0.8520","0.8520","0.8520","0.8520","","-2.38%"
"01/02/1994","0.8728","0.8728","0.8728","0.8728","","-1.72%"
"01/01/1994","0.8881","0.8881","0.8881","0.8881","","-0.15%"
"01/12/1993","0.8894","0.8894","0.8894","0.8894","","0.54%"
"01/11/1993","0.8846","0.8846","0.8846","0.8846","","2.35%"
"01/10/1993","0.8643","0.8643","0.8643","0.8643","","2.78%"
"01/09/1993","0.8409","0.8409","0.8409","0.8409","","-2.44%"
"01/08/1993","0.8619","0.8619","0.8619","0.8619","","-2.96%"
"01/07/1993","0.8882","0.8882","0.8882","0.8882","","4.18%"
"01/06/1993","0.8526","0.8526","0.8526","0.8526","","6.51%"
"01/05/1993","0.8005","0.8005","0.8005","0.8005","","0.34%"
"01/04/1993","0.7978","0.7978","0.7978","0.7978","","-2.33%"
"01/03/1993","0.8168","0.8168","0.8168","0.8168","","-1.71%"
"01/02/1993","0.8310","0.8310","0.8310","0.8310","","3.08%"
"01/01/1993","0.8062","0.8062","0.8062","0.8062","","-0.28%"
"01/12/1992","0.8085","0.8085","0.8085","0.8085","","2.06%"
"01/11/1992","0.7922","0.7922","0.7922","0.7922","","3.88%"
"01/10/1992","0.7626","0.7626","0.7626","0.7626","","8.93%"
"01/09/1992","0.7001","0.7001","0.7001","0.7001","","3.24%"
"01/08/1992","0.6781","0.6781","0.6781","0.6781","","-4.25%"
"01/07/1992","0.7082","0.7082","0.7082","0.7082","","-3.01%"
"01/06/1992","0.7302","0.7302","0.7302","0.7302","","-4.86%"
"01/05/1992","0.7675","0.7675","0.7675","0.7675","","-3.18%"
"01/04/1992","0.7927","0.7927","0.7927","0.7927","","0.25%"
"01/03/1992","0.7907","0.7907","0.7907","0.7907","","0.67%"
"01/02/1992","0.7854","0.7854","0.7854","0.7854","","1.89%"
"01/01/1992","0.7708","0.7708","0.7708","0.7708","","5.26%"
"01/12/1991","0.7323","0.7323","0.7323","0.7323","","-6.51%"
"01/11/1991","0.7833","0.7833","0.7833","0.7833","","-2.39%"
"01/10/1991","0.8025","0.8025","0.8025","0.8025","","0.66%"
