Date,Price,Open,High,Low,Vol.,Change %
1/9/17,3976.23,3883.81,3979.38,3854.05,796.07M,2.38%
1/8/17,3883.81,3872.95,3933.77,3794.87,710.94M,0.28%
1/7/17,3872.95,3940.76,4116.61,3851.49,829.39M,-1.72%
1/6/17,3940.76,3996.41,4149.71,3928.86,837.89M,-1.41%
1/5/17,3996.96,3930.04,4047.59,3886.64,871.36M,1.70%
1/4/17,3930.03,3792.40,4006.50,3729.63,764.60M,3.72%
1/3/17,3789.14,3724.13,3834.51,3711.00,822.48M,1.89%
1/2/17,3718.77,3622.37,3775.93,3619.03,842.44M,2.64%
1/1/17,3623.05,3679.08,3773.89,3622.14,787.08M,-1.55%
1/12/16,3680.08,3491.19,3698.76,3451.19,829.51M,5.41%
1/11/16,3491.10,3454.77,3547.98,3265.85,1.06B,1.10%
1/10/16,3453.27,3490.09,3529.85,3418.37,986.93M,-1.04%
1/9/16,3489.60,3371.75,3501.38,3333.68,754.33M,3.56%
1/8/16,3369.52,3386.20,3469.10,3292.32,739.88M,-0.43%
1/7/16,3384.23,3199.09,3448.62,3112.64,759.51M,5.82%
1/6/16,3198.20,3247.98,3294.60,2996.13,1.00B,-1.54%
1/5/16,3248.29,3144.34,3256.17,3045.04,933.29M,3.31%
1/4/16,3144.34,3173.50,3258.70,3031.96,895.33M,-1.10%
1/3/16,3179.39,3131.49,3259.18,3110.66,885.51M,1.53%
1/2/16,3131.49,3224.94,3252.96,2842.82,1.14B,-2.79%
1/1/16,3221.33,3356.47,3356.47,3010.58,1.08B,-4.11%
1/12/15,3359.38,3471.26,3506.18,3201.18,873.14M,-3.16%
1/11/15,3468.92,3276.00,3476.80,3274.24,751.84M,5.46%
1/10/15,3289.39,2991.82,3290.73,2952.13,967.03M,10.87%
1/9/15,2966.85,3077.56,3196.36,2861.48,887.37M,-4.37%
1/8/15,3102.35,3405.14,3454.67,2887.54,783.94M,-8.67%
1/7/15,3396.80,3273.63,3499.07,3099.22,844.87M,4.37%
1/6/15,3254.48,3387.94,3418.06,3195.70,773.32M,-3.57%
1/5/15,3375.11,3344.06,3484.48,3223.21,809.21M,0.91%
1/4/15,3344.51,3498.63,3667.39,3307.88,1.18B,-4.65%
1/3/15,3507.47,3454.44,3617.57,3395.47,879.67M,1.78%
1/2/15,3446.15,3265.44,3450.06,3217.68,815.82M,5.69%
1/1/15,3260.69,3008.55,3339.08,2920.84,923.88M,9.12%
1/12/14,2988.08,3027.40,3085.15,2807.09,96.22M,-1.75%
1/11/14,3041.41,2928.80,3096.85,2882.04,,3.84%
1/10/14,2929.02,2933.84,2948.21,2626.14,,-0.35%
1/9/14,2939.29,2937.29,3014.67,2905.39,,0.04%
1/8/14,2938.18,2927.37,2970.05,2786.92,,0.37%
1/7/14,2927.48,2923.31,3013.83,2868.19,,0.25%
1/6/14,2920.18,2965.51,3021.88,2914.64,,-1.16%
1/5/14,2954.60,2847.71,2975.54,2814.15,,3.95%
1/4/14,2842.35,2868.40,2917.36,2740.19,,-0.04%
1/3/14,2843.44,2860.80,2932.13,2740.05,,-2.69%
1/2/14,2922.03,2715.49,2941.97,2677.48,,7.48%
1/1/14,2718.70,2851.38,2915.65,2698.28,,-4.11%
1/12/13,2835.17,2816.64,2857.38,2655.36,,0.67%
1/11/13,2816.36,2742.30,2853.34,2741.92,,2.59%
1/10/13,2745.18,2633.88,2768.65,2571.56,,4.36%
1/9/13,2630.54,2395.37,2725.32,2394.69,,10.54%
1/8/13,2379.75,2332.72,2465.53,2332.48,,2.64%
1/7/13,2318.61,2255.52,2384.39,2215.10,,4.41%
1/6/13,2220.67,2332.79,2349.26,2170.12,,-5.35%
1/5/13,2346.21,2305.22,2458.86,2283.74,,1.31%
1/4/13,2315.85,2320.77,2367.93,2174.13,,-0.37%
1/3/13,2324.36,2351.75,2400.87,2303.30,,-1.13%
1/2/13,2350.89,2294.83,2403.60,2289.31,,2.43%
1/1/13,2295.03,2260.06,2372.09,2259.15,,3.85%
1/12/12,2210.02,2152.59,2268.03,2145.17,,3.00%
1/11/12,2145.59,2051.16,2158.44,1999.77,,4.55%
1/10/12,2052.30,2028.14,2118.85,2000.75,,0.79%
1/9/12,2036.21,2001.77,2172.94,1953.99,,2.07%
1/8/12,1994.91,1952.67,2075.69,1897.35,,2.42%
1/7/12,1947.74,1876.01,1975.16,1814.46,,4.06%
1/6/12,1871.67,1844.26,1913.53,1759.29,,1.93%
1/5/12,1836.31,2117.59,2121.09,1824.03,,-12.04%
1/4/12,2087.76,2208.49,2225.79,1977.13,,-5.49%
1/3/12,2209.10,2239.03,2294.62,2148.19,,-1.54%
1/2/12,2243.63,2098.63,2309.15,2094.91,,7.17%
1/1/12,2093.47,1943.50,2156.33,1943.04,,7.80%
1/12/11,1942.06,2002.41,2023.26,1803.19,,-2.79%
1/11/11,1997.73,1983.66,2061.98,1773.01,,-1.45%
1/10/11,2027.15,1821.37,2173.06,1738.31,,9.39%
1/9/11,1853.21,2037.32,2044.02,1726.82,,-8.86%
1/8/11,2033.42,2218.78,2233.18,1717.93,,-6.94%
1/7/11,2185.11,2399.11,2437.29,2155.64,,-8.68%
1/6/11,2392.73,2522.43,2526.40,2240.12,,-5.16%
1/5/11,2522.89,2651.90,2653.37,2510.31,,-4.34%
1/4/11,2637.40,2635.19,2682.22,2544.84,,-0.02%
1/3/11,2637.82,2611.43,2659.56,2388.68,,1.41%
1/2/11,2601.08,2690.93,2720.98,2530.11,,-2.82%
1/1/11,2676.66,2639.42,2715.08,2600.23,,1.83%
1/12/10,2628.48,2445.42,2655.89,2442.72,,8.16%
1/11/10,2430.28,2470.39,2535.39,2417.93,,-0.81%
1/10/10,2450.09,2422.44,2543.41,2392.70,,1.47%
1/9/10,2414.67,2222.24,2437.19,2209.35,,9.26%
1/8/10,2209.93,2255.97,2333.96,2144.56,,-0.98%
1/7/10,2231.87,2074.97,2274.83,2044.39,,6.56%
1/6/10,2094.53,2095.46,2261.20,2054.28,,-0.30%
1/5/10,2100.78,2242.55,2251.04,1954.24,,-6.58%
1/4/10,2248.71,2253.27,2308.11,2152.08,,0.12%
1/3/10,2246.04,2086.77,2291.76,2083.13,,8.41%
1/2/10,2071.79,2050.35,2105.43,1966.09,,0.71%
1/1/10,2057.18,2035.91,2126.78,1991.42,,1.21%
1/12/09,2032.59,1905.06,2042.26,1904.84,,6.80%
1/11/09,1903.13,1875.55,2016.43,1820.71,,3.12%
1/10/09,1845.48,1924.03,1971.53,1828.22,,-4.19%
1/9/09,1926.10,1894.76,2013.05,1801.83,,1.54%
1/8/09,1896.82,1753.47,1942.88,1753.09,,8.43%
1/7/09,1749.35,1603.08,1769.55,1517.54,,9.18%
1/6/09,1602.21,1654.38,1726.59,1533.45,,-2.97%
1/5/09,1651.31,1598.01,1780.21,1526.50,,3.41%
1/4/09,1596.81,1271.93,1610.75,1249.10,,25.50%
1/3/09,1272.38,1262.42,1372.50,1168.28,,0.49%
1/2/09,1266.21,1447.10,1551.79,1250.87,,-12.60%
1/1/09,1448.80,1515.65,1675.76,1356.98,,-4.41%
1/12/08,1515.65,1600.26,1601.65,1446.49,,-5.29%
1/11/08,1600.26,1716.31,1877.64,1407.85,,-7.65%
1/10/08,1732.84,1980.27,2042.20,1492.18,,-12.49%
1/9/08,1980.27,2386.31,2421.77,1911.43,,-17.02%
1/8/08,2386.31,2316.71,2415.37,2250.84,,2.71%
1/7/08,2323.40,2469.06,2472.18,2237.92,,-5.90%
1/6/08,2469.06,2841.20,2848.48,2414.54,,-13.10%
1/5/08,2841.20,2729.86,2939.78,2729.81,,3.68%
1/4/08,2740.33,2687.76,2791.75,2627.14,,1.96%
1/3/08,2687.76,2771.16,2771.16,2523.93,,-3.01%
1/2/08,2771.16,2684.22,2863.21,2622.77,,2.52%
1/1/08,2703.13,3010.11,3044.87,2332.60,,-10.20%
1/12/07,3010.11,3121.32,3150.51,2914.14,,-3.56%
1/11/07,3121.32,3347.59,3390.73,2957.03,,-7.00%
1/10/07,3356.30,3323.46,3361.01,3186.67,,0.98%
1/9/07,3323.68,3174.80,3330.59,3077.62,,4.69%
1/8/07,3174.80,3186.88,3186.89,2877.95,,-0.52%
1/7/07,3191.38,3249.31,3386.44,3099.10,,-1.78%
1/6/07,3249.31,3315.35,3353.85,3153.67,,-1.99%
1/5/07,3315.35,3184.28,3324.78,3082.70,,4.46%
1/4/07,3173.70,3077.70,3214.80,3055.48,,3.12%
1/3/07,3077.70,2987.85,3120.47,2879.80,,3.01%
1/2/07,2987.85,2995.13,3151.78,2915.41,,-0.24%
1/1/07,2995.13,2910.49,3008.29,2818.94,,2.91%
1/12/06,2910.49,2772.21,2921.95,2749.77,,4.99%
1/11/06,2772.21,2752.84,2865.94,2695.36,,0.70%
1/10/06,2752.84,2594.49,2780.04,2556.67,,6.10%
