Quarter,double_pca_fci,0.05,0.25,0.5,0.75,0.95,ols,realized_ggdp_growth
1994-07-01,-1.97477667253992,0.7291378841133462,3.259201050711577,6.060938872992053,8.95154202267151,13.72560524334841,6.507602062460515,11.436936453912724
1994-10-01,-1.7608046031589155,0.4383300443280467,3.1164960178572567,5.86203171234315,8.731296210718938,13.382369017612119,6.25377178880294,12.38349147653532
1995-01-01,-2.4998029402924327,1.4426971593838815,3.6093583913670626,6.5490001628924155,9.491962260565638,14.567808784572758,7.130428965086463,-0.5157159186722937
1995-04-01,-0.5671152931243302,-1.1840041726105455,2.320385232467716,4.752385242863309,7.502607475463789,11.467551748875637,4.83772489490353,13.067570380638225
1995-07-01,-1.54062241342007,0.13908207639286863,2.9696492508398804,5.657351660815361,8.504658195314333,13.029171032478166,5.9925745884505055,0.8660654417840246
1995-10-01,-1.7181586600281302,0.3803702618510756,3.0880540313251466,5.822388297733579,8.687399872292644,13.313959936905837,6.203181861591471,2.738298960575691
1996-01-01,-0.07947578743395345,-1.846751379075516,1.995162356968492,4.29907846419027,7.0006701937352664,10.685320946802857,4.259249070775143,9.518150011042636
1996-04-01,-1.6113293864334657,0.23517939479179262,3.0168060640449688,5.723080441589688,8.577438323707232,13.142593287170396,6.076452686939758,5.555414820331474
1996-07-01,-1.1200473427832103,-0.43251835778189496,2.6891538597985796,5.266387581334826,8.071751703418483,12.354519428174035,5.493655801610071,4.75359679859625
1996-10-01,0.24596630157744112,-2.2890572891618373,1.7781142901862173,3.9965494375366135,6.665686018720229,10.16327377190218,3.8731844093806562,9.796360808269698
1997-01-01,-0.6793340368360261,-1.0314885170082748,2.3952276151888596,4.85670311831244,7.618116515482796,11.647563739038171,4.9708474772492135,7.065491049964483
1997-04-01,-1.4834461975092719,0.061374308812652156,2.9315165459796613,5.6042009912145785,8.44580555097585,12.937453694753302,5.924747724068967,8.3938734934491
1997-07-01,-1.5102733458197803,0.09783488551477859,2.949408456321576,5.62913934842254,8.473419281492701,12.980487578381219,5.956572169272531,11.734914776347802
1997-10-01,-2.2265541945204186,1.0713268318832951,3.427119787255778,6.294989757096852,9.210701757493071,14.129485836828778,6.806280097822871,14.129486430440291
1998-01-01,-2.552977841366843,1.514966769884826,3.6448224873437063,6.598431234064904,9.546696269992715,14.653107545301111,7.193509159293486,-0.15691843191014582
1998-04-01,-1.0777044409688208,-0.49006627907136746,2.6609139815189047,5.22702587212717,8.028167291595404,12.286596461183354,5.443425365525144,10.374412276503344
1998-07-01,-1.7997574623670667,0.4912705840562146,3.142474964871929,5.898242058145122,8.771391182595371,13.444853959758639,6.299980693269552,7.366172635573053
1998-10-01,-0.873369709780223,-0.7677760845705948,2.5246364074789716,5.037077523633566,7.817841388261693,11.958819653103188,5.20102765032151,5.931050612409525
1999-01-01,-0.7901154873760345,-0.88092627581007,2.469111419671823,4.95968489459392,7.732146120346887,11.825270142845657,5.102265030895819,8.910049385846166
1999-04-01,-2.1718700414584724,0.9970060082896484,3.39064912133246,6.244155694270299,9.154414244235342,14.041766059388356,6.7414095117851645,4.566677680879129
1999-07-01,-0.30642604867580814,-1.5383049757604477,2.146522974176649,4.510050074656695,7.234274723077161,11.049375710230008,4.528475082769735,4.574305845042083
1999-10-01,-0.2046297430707835,-1.6766555736527788,2.078631659306265,4.415420835564795,7.129493711019793,10.886082529812375,4.4077164053227085,5.801530591821885
2000-01-01,-2.2068684559287925,1.0445720917390795,3.413990718678714,6.2766900118083,9.190438825548068,14.097907609658439,6.782927347025446,14.278895512626935
