"","location","scale","shape","freedom","DATE"
"73",5.88674242267025,3.91679341612976,-1.55199105488986,5,2008-07-01
"74",5.50289878300712,3.72460895128794,-1.77240449597555,4,2008-10-01
"75",3.21247860994101,2.60052169274672,-3.77813108179489,2,2009-01-01
"76",5.42744820229539,3.85473414083063,-2.25718490772329,4,2009-04-01
"77",1.89372730013727,5.56473458677783,2.14711173584304,30,2009-07-01
"78",1.82699752437211,5.92981513515725,2.87830743249266,30,2009-10-01
"79",2.12483925081278,4.97307295107518,1.41059637187191,30,2010-01-01
"80",2.08118521686541,5.05449063593613,1.49460805848367,30,2010-04-01
"81",2.70387630858604,4.31600690757864,0.816559934625855,30,2010-07-01
"82",5.62924695271457,3.81647263633892,-0.389824811687573,23,2010-10-01
"83",2.24296636156161,4.78780186487744,1.23151808037391,30,2011-01-01
"84",5.49353402712411,3.78354849135137,-0.331955405592636,24,2011-04-01
"85",6.38294770970543,4.12569541481716,-0.985275677794442,11,2011-07-01
"86",5.87808762408395,4.01773649500703,-1.80219543424995,5,2011-10-01
"87",6.22379307236945,4.05121500663039,-1.23636078918665,7,2012-01-01
"88",4.18230717581702,3.72880221793686,0.149017327194101,30,2012-04-01
"89",6.10335135323626,4.00744462241514,-1.37204875974783,6,2012-07-01
"90",4.6080220449566,3.69676043169391,-0.0017016221052014,29,2012-10-01
"91",2.48127001059861,4.50948061722904,0.983245520807028,30,2013-01-01
"92",3.32655585424094,3.95758714898748,0.484726099878584,30,2013-04-01
"93",6.19868421583452,4.00882954767264,-0.725975605253273,15,2013-07-01
"94",2.58669223852999,4.41179412162813,0.899039946424701,30,2013-10-01
"95",2.56905735034802,4.42732059369121,0.912390892928527,30,2014-01-01
"96",6.32222055971411,4.08396910554604,-0.832239667088462,14,2014-04-01
"97",4.9829367942631,3.70663035209393,-0.135543928731958,27,2014-07-01
"98",5.1433369486806,3.72224711735852,-0.19479667598126,26,2014-10-01
"99",6.22614860613749,4.01843071310007,-0.759495066023284,14,2015-01-01
"100",2.64807661738465,4.36012271023209,0.854597513636159,30,2015-04-01
"101",2.23862486006194,4.79389230259426,1.23718429122729,30,2015-07-01
"102",5.4647994241742,3.80224678023007,-2.03804806959648,4,2015-10-01
"103",6.26312861603637,4.13147842493539,-1.366284445439,7,2016-01-01
"104",6.347941993964,4.09676072640997,-1.00346093379048,10,2016-04-01
"105",6.4230183651779,4.1651028766719,-1.03325652072936,11,2016-07-01
"106",2.9587740137924,4.14324118170012,0.664384530083248,30,2016-10-01
"107",6.32265792873851,4.07452280126636,-0.883084239592792,12,2017-01-01
"108",2.63843616418725,4.36800949457743,0.861384727172425,30,2017-04-01
"109",2.43407313444916,4.55744949784171,1.0249165613621,30,2017-07-01
"110",5.40148119806883,3.76101139754865,-0.295202379747306,24,2017-10-01
"111",6.17571462980377,4.00259104668269,-0.699441845003121,16,2018-01-01
"112",5.41832653459504,3.76494324412915,-0.30189536911191,24,2018-04-01
"113",6.33285208533209,4.08270680246201,-0.892513677622243,12,2018-07-01
"114",6.34655855617028,4.09387603280724,-0.905411569700921,12,2018-10-01
"115",6.11590685602567,4.05016090817092,-1.45130538667812,6,2019-01-01
"116",3.5995070136447,3.85718436851738,0.369211404538124,30,2019-04-01
"117",6.32557026999505,4.07684223908018,-0.885755101813585,12,2019-07-01
"118",6.33091240621196,4.09155614221657,-1.06586384638669,9,2019-10-01
"119",6.33644062417497,4.08959707539344,-0.866621442028484,13,2020-01-01
"120",6.40400095529692,4.18353139412666,-1.19003617777193,9,2020-04-01
"121",4.8499062773297,3.29436128473648,-1.85618577986085,3,2020-07-01
"122",1.96273782384028,5.33377283956698,1.81823153543835,30,2020-10-01
"123",5.11620660910249,3.7182857226379,-0.184754810216727,26,2021-01-01
"124",6.30972774106444,4.06944485753608,-0.843872621605626,13,2021-04-01
"125",2.87518117924131,4.19523761914152,0.711016178906791,30,2021-07-01
"126",5.71349450724117,3.83168516700084,-0.430998798353475,21,2021-10-01
"127",6.24638626611198,4.09409777671001,-1.30435856320502,7,2022-01-01
"128",5.88684181760165,3.9440747595724,-1.61485045679254,5,2022-04-01
"129",5.88628483784847,3.9570925706824,-1.64597143434603,5,2022-07-01
"130",6.36777970887433,4.1116358569852,-0.926007491108791,12,2022-10-01
"131",4.47766990021673,3.53894142760331,-3.98338260562004,3,2023-01-01
"132",6.12782331184571,4.11718752614342,-1.58602331799942,6,2023-04-01
"133",6.12981486642463,4.1429918905788,-1.64190776778359,6,2023-07-01
"134",5.86490953805213,4.06523531392434,-1.94015615192687,5,2023-10-01
